code,name
714,"Маляры, рабочие по очистке поверхностей зданий и сооружений и родственные профессии"
715,"Рабочие, занятые на строительстве шахт (рудников) и карьеров (разрезов), метрополитенов, тоннелей и подземных сооружений специального назначения"
7150,"Рабочие, занятые на строительстве шахт (рудников) и карьеров (разрезов), метрополитенов, тоннелей и подземных сооружений специального назначения"
72,Рабочие металлообрабатывающей и машиностроительной промышленности
721,"Формовщики, сварщики, кузнецы, вальцовщики, подготовители конструкционного металла и рабочие родственных профессий"
7211,Формовщики и стерженщики
7212,Сварщики и газорезчики
7213,Вальцовщики
7214,Подготовители конструкционного металла и слесари-монтажники
7215,Такелажники
7216,Водолазы
7217,"Кузнецы, кузнецы на молотах и прессах"
722,"Слесари-инструментальщики, станочники, наладчики и рабочие родственных профессий"
7221,"Кузнецы, кузнецы на молотах и прессах"
7222,"Слесари-инструментальщики, заточники инструмента, модельщики по металлическим моделям и разметчики по металлу"
7223,"Станочники на металлообрабатывающих станках, наладчики станков и оборудования"
7224,"Шлифовщики, полировщики и другие родственные профессии"
723,"Механики по оборудованию, слесари-сборщики и слесари - ремонтники"
7231,Слесари-сборщики и слесари-ремонтники мототранспортных средств
7232,"Слесари-механики, слесари-сборщики и слесари- ремонтники летательных аппаратов и судов"
7233,"Слесари-механики, слесари-сборщики и слесари- ремонтники промышленного оборудования"
724,"Слесари-сборщики электрических, электромеханических и радиоэлектронных приборов"
7241,Слесари-сборщики электрических и электромеханических приборов
7242,Слесари-сборщики радиоэлектронных приборов
7243,Слесари по ремонту телевизоров и радиоприемников
7244,Монтеры по установке телеграфного и телефонного оборудования
7245,"Монтажники линий электропередач, ремонтники и кабельщики-спайщики"
725,"Рабочие, занятые на эмалировании, металлопокрытиях и окраске"
7250,"Рабочие, занятые на эмалировании, металлопокрытиях и окраске"
726,"Рабочие, занятые в оптико-механическом производстве и в спецпроизводствах"
7260,"Рабочие, занятые в оптико-механическом производстве и в спецпроизводствах"
727,"Рабочие, занятые в производстве абразивов, синтетических алмазов, сверхтвердых материалов и изделий из них и природных алмазов"
7270,"Рабочие, занятые в производстве абразивов, синтетических алмазов, сверхтвердых материалов и изделий из них и природных алмазов"
728,"Рабочие, занятые в других производствах машиностроительной и металлообрабатывающей промышленности"
7280,"Рабочие, занятые в других производствах машиностроительной и металлообрабатывающей промышленности"
73,"Рабочие, занятые изготовлением прецизионных инструментов и приборов, рабочие художественных промыслов и других видов производств в художественной промышленности, рабочие полиграфического производства"
731,"Рабочие, выполняющие прецизионные работы по металлу и другим материалам"
7311,"Рабочие, занятые изготовлением и ремонтом прецизионных инструментов и приборов"
7312,"Изготовители, настройщики и реставраторы музыкальных инструментов"
